form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,epistemic_tag,variants_tag,analysis_tag,overabundance_tag,source,page,language_id
komsaikul026,hmu,2.pl.1.pl.excl.fut.aff,nan-hmu-sik-ung,nan-Σ-sik-ung,na+n+Σ+sik+ung,n a n Σ s i k u ŋ,n a + n + Σ + s i k + u ŋ,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul027,hmu,2.sg.3.sg.fut.aff,na-hmu-sik,na-Σ-sik,na+Σ+sik,n a Σ s i k,n a + Σ + s i k,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul028,hmu,2.sg.3.pl.fut.aff,na-hmu-sik-hei,na-Σ-sik-hei,na+Σ+sik+hei,n a Σ s i k h ei,n a + Σ + s i k + h ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul029,hmu,2.pl.3.sg.fut.aff,nan-hmu-sik,nan-Σ-sik,na+n+Σ+sik,n a n Σ s i k,n a + n + Σ + s i k,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul030,hmu,2.pl.3.pl.fut.aff,nan-hmu-sik-hei,nan-Σ-sik-hei,na+n+Σ+sik+hei,n a n Σ s i k h ei,n a + n + Σ + s i k + h ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul031,se,3.sg.fut.aff,ka-se-sik,ka-Σ-sik,ka+Σ+sik,k a Σ s i k,k a + Σ + s i k,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul032,se,3.pl.fut.aff,ka-se-sik-hei,ka-Σ-sik-hei,ka+Σ+sik+hei,k a Σ s i k h ei,k a + Σ + s i k + h ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul033,hmu,3.sg.1.sg.fut.aff,a-hmu-sik-eng,a-Σ-sik-eng,a+Σ+sik+eng,a Σ s i k e ŋ,a + Σ + s i k + e ŋ,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul034,hmu,3.sg.1.pl.excl.fut.aff,a-hmu-sik-ung,a-Σ-sik-ung,a+Σ+sik+ung,a Σ s i k u ŋ,a + Σ + s i k + u ŋ,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul035,hmu,3.sg.1.pl.incl.fut.aff,a-hmu-sik-me,a-Σ-sik-me,a+Σ+sik+me,a Σ s i k m e,a + Σ + s i k + m e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
